sentence_id,domain_category,english_text,sesotho_text
1601,Tuberculosis,Community education reduces TB stigma and encourages people to seek care.,
1602,Tuberculosis,TB survivors can play a powerful role in reducing stigma in their communities.,
1603,Tuberculosis,Mental health support should be integrated into TB care services.,
1604,Tuberculosis,Depression is common among TB patients and can negatively affect treatment adherence.,
1605,Tuberculosis,Peer support groups help TB patients stay motivated and complete their treatment.,
1606,Tuberculosis,Disclosing your TB diagnosis to trusted family members can help you get the support you need.,
1607,Tuberculosis,Social protection measures such as food vouchers help TB patients stay on treatment.,
1608,Tuberculosis,Transport support for clinic visits reduces missed appointments among TB patients.,
1609,Tuberculosis,Tuberculosis is one of the top ten causes of death worldwide.,
1610,Tuberculosis,The WHO End TB Strategy aims to reduce TB deaths by 95 percent by 2035.,
1611,Tuberculosis,"Achieving the End TB targets requires addressing poverty, malnutrition, and social determinants.",
1612,Tuberculosis,TB notification rates have been declining globally but progress is too slow.,
1613,Tuberculosis,The COVID-19 pandemic disrupted TB services and set back progress against tuberculosis.,
1614,Tuberculosis,Investing in TB research and new diagnostics is critical to ending the epidemic.,
1615,Tuberculosis,Community health workers are essential to reaching TB patients in remote areas.,
1616,Tuberculosis,Digital health tools such as SMS reminders can improve TB treatment adherence.,
1617,Tuberculosis,Universal health coverage is fundamental to ending tuberculosis.,
1618,Tuberculosis,"I was scared when I was told I had tuberculosis, but my nurse explained everything clearly.",
1619,Tuberculosis,"Taking six months of tablets every day was difficult, but I finished my treatment.",
1620,Tuberculosis,My family supported me throughout my TB treatment and I am grateful.,
1621,Tuberculosis,I lost my job because people at work were afraid of catching TB from me.,
1622,Tuberculosis,After two weeks on treatment I started feeling much better and could sleep through the night.,
1623,Tuberculosis,I now tell everyone in my community to go and get tested if they have a cough.,
1624,Tuberculosis,The community health worker visited me at home every day to make sure I took my tablets.,
1625,Tuberculosis,I was relieved when my sputum test came back negative after two months of treatment.,
1626,Tuberculosis,"Having TB and HIV at the same time was overwhelming, but the clinic team helped me cope.",
1627,Tuberculosis,I am now cured of tuberculosis and I feel stronger than ever before.,
1628,Tuberculosis,"TB patients should sleep in a well-ventilated room, separate from other household members if possible.",
1629,Tuberculosis,Infectious TB patients should avoid crowded public spaces during the first two weeks of treatment.,
1630,Tuberculosis,"After two weeks of effective treatment, most TB patients are no longer infectious.",
1631,Tuberculosis,TB infection control in health facilities protects both patients and healthcare workers.,
1632,Tuberculosis,Administrative controls such as fast-tracking TB patients reduce exposure in waiting areas.,
1633,Tuberculosis,Environmental controls like natural ventilation are the most cost-effective TB infection control measure.,
1634,Tuberculosis,Respiratory protection for healthcare workers is the last line of defence against TB transmission.,
1635,Tuberculosis,Cough etiquette posters in clinic waiting rooms remind patients to cover their mouths.,
1636,Tuberculosis,Sputum collection should be done outdoors or in a well-ventilated area to reduce transmission risk.,
1637,Tuberculosis,TB triage at clinic entry helps identify and separate potentially infectious patients quickly.,
1638,Tuberculosis,Sputum smear microscopy at two months confirms whether treatment is working.,
1639,Tuberculosis,A positive sputum culture at three months may indicate treatment failure.,
