sentence_id,domain_category,english_text,sesotho_text
4201,Maternal and Child Health,My child has been vomiting and has diarrhoea.,Ngoana oa ka o ntse a hlatsa mme o na le sehudo.
4202,Maternal and Child Health,I was told to give my child oral rehydration solution.,Ke boletsoe ho fa ngoana oa ka sesebelisoa sa ho noa sa ho khutlisa metsi.
4203,Maternal and Child Health,I was shown how to prepare oral rehydration solution at home.,Ke bontšitsoe ho lokisa sesebelisoa sa ho noa sa ho khutlisa metsi lapeng.
4204,Maternal and Child Health,My child has been admitted to hospital for severe dehydration.,Ngoana oa ka o kenngoe sepetleleng bakeng sa ho hloka metsi ho matla.
4205,Maternal and Child Health,My child has been having a high fever for three days.,Ngoana oa ka o ntse a na le feberu e phahameng matsatsi a mararo.
4206,Maternal and Child Health,My child was tested for malaria at the clinic.,Ngoana oa ka o hlahlojoe bakeng sa malaria klinikeng.
4207,Maternal and Child Health,My child was diagnosed with malaria and given treatment.,Ngoana oa ka o hlahlojoe ka malaria mme o filoe phekolo.
4208,Maternal and Child Health,My child has been coughing for more than two weeks.,Ngoana oa ka o ntse a kohoa ho fetang libeke tse peli.
4209,Maternal and Child Health,My child was tested for TB at the clinic.,Ngoana oa ka o hlahlojoe bakeng sa TB klinikeng.
4210,Maternal and Child Health,My child was diagnosed with TB and started on treatment.,Ngoana oa ka o hlahlojoe ka TB mme o qalisitsoe phekolo.
4211,Maternal and Child Health,My child has been given TB preventive therapy.,Ngoana oa ka o filoe phekolo ea thibelo ea TB.
4212,Maternal and Child Health,My child was tested for HIV at the clinic.,Ngoana oa ka o hlahlojoe bakeng sa HIV klinikeng.
4213,Maternal and Child Health,My child tested positive for HIV and was started on ART.,Ngoana oa ka o hlahlojoe ke positive bakeng sa HIV mme o qalisitsoe ART.
4214,Maternal and Child Health,My child has been on ART for six months and is doing well.,Ngoana oa ka o ntse a nka ART likhoeling tse tšeletseng mme o phela hantle.
4215,Maternal and Child Health,I was told to give my child their ART medication every day.,Ke boletsoe ho fa ngoana oa ka moriana oa ART letsatsi le leng le le leng.
4216,Maternal and Child Health,My child has been having difficulty breathing.,Ngoana oa ka o ntse a na le bothata ba ho hema.
4217,Maternal and Child Health,My child was diagnosed with pneumonia at the clinic.,Ngoana oa ka o hlahlojoe ka pneumonia klinikeng.
4218,Maternal and Child Health,My child was admitted to hospital for pneumonia treatment.,Ngoana oa ka o kenngoe sepetleleng bakeng sa phekolo ea pneumonia.
4219,Maternal and Child Health,My child has been having ear pain and discharge.,Ngoana oa ka o ntse a na le mahloko a tsebe le seretse.
4220,Maternal and Child Health,My child was diagnosed with an ear infection.,Ngoana oa ka o hlahlojoe ka ho hlohlona ha tsebe.
4221,Maternal and Child Health,My child has been having eye discharge and redness.,Ngoana oa ka o ntse a na le seretse sa leihlo le bofubedu.
4222,Maternal and Child Health,My child was diagnosed with conjunctivitis.,Ngoana oa ka o hlahlojoe ka conjunctivitis.
4223,Maternal and Child Health,My child has a skin rash all over the body.,Ngoana oa ka o na le ho ruruha ha letlalo 'meleng oa hae ka bophara.
4224,Maternal and Child Health,My child has been diagnosed with chickenpox.,Ngoana oa ka o hlahlojoe ka chickenpox.
4225,Maternal and Child Health,My child has a rash and fever and was diagnosed with measles.,Ngoana oa ka o na le ho ruruha ha letlalo le feberu mme o hlahlojoe ka measles.
4226,Maternal and Child Health,My child has not been vaccinated against measles.,Ngoana oa ka ha a so entisoe bakeng sa measles.
4227,Maternal and Child Health,My child has been having convulsions with a high fever.,Ngoana oa ka o ntse a na le ho thothomela le feberu e phahameng.
4228,Maternal and Child Health,My child was diagnosed with febrile convulsions.,Ngoana oa ka o hlahlojoe ka ho thothomela ha feberu.
4229,Maternal and Child Health,My child has been having seizures and I am very worried.,Ngoana oa ka o ntse a na le ho thothomela mme ke na le khathello e kholo.
4230,Maternal and Child Health,My child was referred to the hospital for further investigation.,Ngoana oa ka o romeloa sepetleleng bakeng sa lipatlisiso tse eketsehileng.
4231,Maternal and Child Health,My child has been diagnosed with a heart condition.,Ngoana oa ka o hlahlojoe ka boemo ba pelo.
