sentence_id,domain_category,english_text,sesotho_text
401,HIV,I have been having night sweats and losing weight for two months.,Ke bile le molapo oa bosiu le ho lahleheloa ke boima ka likhoeli tse peli.
402,HIV,I am HIV-positive and I am seven months pregnant.,Ke na le HIV mme ke ima likhoeli tse supileng.
403,HIV,My baby tested positive for HIV at six weeks and I need help.,Ngoana oa ka o hlahlobelitsoe HIV mme o fumane sephetho se molemo ka libeke tse tšeletseng mme ke hloka thuso.
404,HIV,I have HIV and my eyes have been getting blurry over the past few weeks.,Ke na le HIV mme mahlo a ka a bile a fifala libeke tse fetileng tse itseng.
405,HIV,I have difficulty swallowing and I think it is related to my HIV.,Ke na le bothata ba ho metsa mme ke nahana hore bo amana le HIV ea ka.
406,HIV,Differentiated service delivery models reduce the burden on health facilities.,Mehlala ea fapaneng ea ho fana ka litshebeletso e fokotsa morwalo oa likamore tsa bophelo bo botle.
407,HIV,Multi-month dispensing of ART reduces the number of clinic visits required.,Ho abela ART ka likhoeli tse ngata ka nako e le ngoe ho fokotsa palo ea litsela tsa kliniki tse hlokahalang.
408,HIV,Community ART distribution points bring medicines closer to people who need them.,Libaka tsa phatlalatso ea ART sechabeng li tlisa meriana haufi le batho ba e hlokang.
409,HIV,Fast-track ART refill services are available for stable patients at many clinics.,Litshebeletso tsa ho tlatsa ART ka potlako li fumaneha bakeng sa bakuli ba tsitsitseng likhlinikhing tse ngata.
410,HIV,Stable HIV patients on ART can collect up to three months of medicine at a time.,Bakuli ba HIV ba tsitsitseng ba holim'a ART ba ka kgotha meriana ea likhoeli tse tharo ka nako e le ngoe.
411,HIV,Patients who miss clinic appointments should be traced and supported to return to care.,Bakuli ba lahlehileng meeto ea kliniki ba lokela ho batlooa le ho tsheheltsoa ho khutlela tlhokomelong.
412,HIV,Loss to follow-up from HIV care is a major challenge in many countries.,Ho lahlehela ho latela tlhokomelo ea HIV ke mathata a maholo linaheng tse ngata.
413,HIV,Electronic health records improve the tracking and management of HIV patients.,Lirekhoto tsa bophelo bo botle tsa elektroniki li ntlafatsa ho latela le ho laola bakuli ba HIV.
414,HIV,HIV programme data should be used to improve the quality of care.,Data ea lenaneo la HIV e lokela ho sebelisoa ho ntlafatsa boleng ba tlhokomelo.
415,HIV,Integration of HIV services with other health services improves access and efficiency.,Ho kopanya litshebeletso tsa HIV le litshebeletso tse ling tsa bophelo bo botle ho ntlafatsa phihlello le bokgoni.
416,HIV,Broadly neutralising antibodies are being studied as a potential HIV treatment and prevention tool.,Li-antibody tse phanyolang ka bophara li ithutoa e le sesebelisoa se ka khonehang sa phekolo le thibelo ea HIV.
417,HIV,HIV cure research aims to eliminate the virus from the body completely.,Lipatlisiso tsa pholo ea HIV li ikemiseditse ho felisa vaerase 'meleng ka botlalo.
418,HIV,The HIV reservoir consists of cells that harbour dormant HIV and are not eliminated by ART.,Polokelo ea HIV e bopiloe ke lisele tse bolokang HIV e robetseng mme e sa felisoe ke ART.
419,HIV,Shock and kill strategies aim to activate latent HIV so it can be eliminated.,Maano a shock le kill a ikemiseditse ho vuseletsa HIV e patileng hore e tle e felisoe.
420,HIV,Gene therapy approaches are being explored as a potential HIV cure strategy.,Mekhoa ea phekolo ea gene e hlahlojoa e le leano le ka khonehang la pholo ea HIV.
421,HIV,An effective HIV vaccine would be the most powerful tool to end the epidemic.,Ente ea HIV e sebetsang e ka ba sesebelisoa se matla ka ho fetisisa sa ho felisa leruo la lefu.
422,HIV,Several HIV vaccine candidates are currently in clinical trials.,Liente tse ling tse ling tsa HIV li se li le ho lekoa lihlahlobong tsa kliniki hona joale.
423,HIV,Lenacapavir is a long-acting injectable HIV medicine given twice a year.,Lenacapavir ke moriana oa HIV o kenngoa ka mesipi o sebetsang nako e telele o neoang habeli ka selemo.
424,HIV,Cabotegravir plus rilpivirine is a long-acting injectable ART regimen given every two months.,Cabotegravir hammoho le rilpivirine ke leano la ART la ho kenngoa ka mesipi le sebetsang nako e telele le neoang likhoeli tse peli le tse peli.
425,HIV,Islatravir is a novel antiretroviral being studied as part of long-acting treatment regimens.,Islatravir ke antiretroviral e ncha e ithutoa e le karolo ea mananeo a phekolo a sebetsang nako e telele.
426,HIV,Key populations are groups at higher risk of HIV due to specific behaviours or circumstances.,Sechaba se bohlokoa ke lihlopha tse leng kotsing e kholo ea HIV ka lebaka la maitshwaro kapa maemo a khethehileng.
427,HIV,Key populations include sex workers men who have sex with men transgender people and people who inject drugs.,Sechaba se bohlokoa se kenyelletsa basebetsi ba thobalano banna ba robetsanang le banna batho ba fetohang bong le batho ba kenyang meriana ka mesipi.
428,HIV,Key populations face stigma and discrimination that prevent them from accessing HIV services.,Sechaba se bohlokoa se tobana le kekello le khethollo tse se thibelang ho fihlella litshebeletso tsa HIV.
429,HIV,HIV services for key populations must be non-judgmental and confidential.,Litshebeletso tsa HIV bakeng sa sechaba se bohlokoa li lokela ho se ahlole mme li boloke sephiri.
430,HIV,Peer-led outreach programmes are effective at reaching key populations with HIV services.,Mananeo a phono a etelletsoe pele ke bahlankana a sebetsa hantle ho fihla sechaba se bohlokoa ka litshebeletso tsa HIV.
