sentence_id,domain_category,english_text,sesotho_text
2801,Symptoms and Complaints,I have been feeling very unwell and am not getting better.,
2802,Symptoms and Complaints,I feel my whole body is shutting down.,
2803,Symptoms and Complaints,I have been having episodes of sudden chest tightness.,
2804,Symptoms and Complaints,I feel very ill and need to go to the emergency room.,
2805,Symptoms and Complaints,I have been feeling very poorly and cannot function.,
2806,Symptoms and Complaints,I feel my condition needs urgent medical attention.,
2807,Symptoms and Complaints,I have been having episodes of sudden severe pain.,
2808,Symptoms and Complaints,I feel very unwell and have been like this for weeks.,
2809,Symptoms and Complaints,I have been feeling very sick and need a blood test.,
2810,Symptoms and Complaints,I feel my body is not healing properly.,
2811,Symptoms and Complaints,I have been having episodes of sudden swelling.,
2812,Symptoms and Complaints,I feel very ill and need to be examined by a doctor.,
2813,Symptoms and Complaints,I have been feeling very unwell and am losing hope.,
2814,Symptoms and Complaints,I feel my whole body is inflamed.,
2815,Symptoms and Complaints,I have been having episodes of sudden rash.,
2816,Symptoms and Complaints,I feel very sick and need to start treatment immediately.,
2817,Symptoms and Complaints,I have been feeling very poorly and need support.,
2818,Symptoms and Complaints,I feel my condition is affecting my quality of life.,
2819,Symptoms and Complaints,I have been having episodes of sudden joint pain.,
2820,Symptoms and Complaints,I feel very unwell and need comprehensive care.,
2821,Symptoms and Complaints,I have been feeling very ill and need a diagnosis.,
2822,Symptoms and Complaints,I feel my body is not coping with the illness.,
2823,Symptoms and Complaints,I have been having episodes of sudden muscle weakness.,
2824,Symptoms and Complaints,I feel very sick and need to be monitored closely.,
2825,Symptoms and Complaints,I have been feeling very unwell and need medication.,
2826,Symptoms and Complaints,I feel my whole body is under stress.,
2827,Symptoms and Complaints,I have been having episodes of sudden back pain.,
2828,Symptoms and Complaints,I feel very ill and need to be stabilised.,
2829,Symptoms and Complaints,I have been feeling very poorly and need investigation.,
2830,Symptoms and Complaints,I feel my condition requires specialist care.,
2831,Symptoms and Complaints,I have been having episodes of sudden abdominal pain.,
2832,Symptoms and Complaints,I feel very unwell and need a comprehensive examination.,
2833,Symptoms and Complaints,I have been feeling very sick and need to be hospitalised.,
2834,Symptoms and Complaints,I feel my body is giving up and I need help urgently.,
2835,Symptoms and Complaints,I have been having episodes of sudden headache.,
2836,Symptoms and Complaints,I feel very ill and need to start treatment today.,
2837,Symptoms and Complaints,I have been feeling very unwell and need to be assessed.,
2838,Symptoms and Complaints,I feel my whole body is suffering.,
2839,Symptoms and Complaints,I have been having episodes of sudden vision changes.,
2840,Symptoms and Complaints,I feel very sick and need to be reviewed by a doctor.,
2841,Symptoms and Complaints,I have been feeling very poorly and need a care plan.,
2842,Symptoms and Complaints,I feel my condition is complex and needs expert care.,
2843,Symptoms and Complaints,I have been having episodes of sudden hearing loss.,
2844,Symptoms and Complaints,I have a severe headache that has lasted for two days.,
2845,Symptoms and Complaints,I have pain in my chest that comes and goes.,
2846,Symptoms and Complaints,I have a sharp pain in my lower back.,
2847,Symptoms and Complaints,"I have pain in my joints, especially my knees.",
2848,Symptoms and Complaints,I have a burning pain in my stomach.,
2849,Symptoms and Complaints,I have pain in my right side under my ribs.,
2850,Symptoms and Complaints,I have a throbbing headache on one side of my head.,
2851,Symptoms and Complaints,I have pain in my muscles after any activity.,
2852,Symptoms and Complaints,I have a dull ache in my lower abdomen.,
2853,Symptoms and Complaints,I have pain in my neck that makes it hard to turn my head.,
2854,Symptoms and Complaints,I have a stabbing pain in my chest when I breathe deeply.,
2855,Symptoms and Complaints,I have pain in my hips when I walk.,
2856,Symptoms and Complaints,I have a burning sensation when I urinate.,
2857,Symptoms and Complaints,I have pain in my throat when I swallow.,
2858,Symptoms and Complaints,I have a severe pain in my lower back that radiates to my leg.,
2859,Symptoms and Complaints,I have pain in my shoulders that wakes me up at night.,
2860,Symptoms and Complaints,I have a cramping pain in my abdomen.,
2861,Symptoms and Complaints,I have pain in my feet when I stand for long periods.,
2862,Symptoms and Complaints,I have a sharp pain behind my eyes.,
2863,Symptoms and Complaints,I have pain in my ears that is getting worse.,
