sentence_id,domain_category,english_text,sesotho_text
2601,Medication Instructions,Do not take your medicine less frequently than prescribed.,
2602,Medication Instructions,"Take your medicine as directed, even during weekends and holidays.",
2603,Medication Instructions,Do not stop taking your medicine because of travel; plan ahead.,
2604,Medication Instructions,"Inform your doctor if you are planning surgery, as you may need to stop some medicines.",
2605,Medication Instructions,Do not take your medicine in the dark; always check the label before taking.,
2606,Medication Instructions,Take your medicine in good lighting to ensure you take the correct tablet.,
2607,Medication Instructions,Do not take your medicine if the packaging is damaged or the seal is broken.,
2608,Medication Instructions,Inform your doctor if you are pregnant or planning to become pregnant.,
2609,Medication Instructions,Do not take your medicine if you are breastfeeding without medical advice.,
2610,Medication Instructions,Take your medicine with a full glass of water unless instructed otherwise.,
2611,Medication Instructions,Do not take your medicine with hot drinks as it may affect absorption.,
2612,Medication Instructions,Inform your doctor if you develop new symptoms while taking your medicine.,
2613,Medication Instructions,Do not take your medicine with cold drinks unless instructed.,
2614,Medication Instructions,Take your medicine in the correct order if you are taking multiple medicines.,
2615,Medication Instructions,Do not take your medicine at irregular intervals; maintain a consistent schedule.,
2616,Medication Instructions,Inform your doctor if you are taking any over-the-counter medicines.,
2617,Medication Instructions,Do not take your medicine with food if the instructions say to take it on an empty stomach.,
2618,Medication Instructions,Take your medicine with food if the instructions say to take it with meals.,
2619,Medication Instructions,Do not take your medicine if you are feeling nauseous; wait until the nausea passes.,
2620,Medication Instructions,Inform your doctor if you vomit within one hour of taking your medicine.,
2621,Medication Instructions,Do not take your medicine if you have diarrhoea; contact your doctor for advice.,
2622,Medication Instructions,Take your medicine as prescribed to achieve the best treatment outcome.,
2623,Medication Instructions,Do not take your medicine in a hurry; take your time to ensure the correct dose.,
2624,Medication Instructions,Inform your doctor if you are having difficulty swallowing your medicine.,
2625,Medication Instructions,Do not take your medicine with juice unless instructed.,
2626,Medication Instructions,Take your medicine with a snack if it causes stomach upset.,
2627,Medication Instructions,Do not take your medicine with milk unless instructed.,
2628,Medication Instructions,Inform your doctor if you are having difficulty remembering to take your medicine.,
2629,Medication Instructions,Do not take your medicine with tea or coffee unless instructed.,
2630,Medication Instructions,Take your medicine with a routine meal to help you remember.,
2631,Medication Instructions,Do not take your medicine with carbonated drinks unless instructed.,
2632,Medication Instructions,Inform your doctor if you are having difficulty tolerating your medicine.,
2633,Medication Instructions,Do not take your medicine with energy drinks unless instructed.,
2634,Medication Instructions,Take your medicine with a glass of water to help it dissolve properly.,
2635,Medication Instructions,Do not take your medicine with sports drinks unless instructed.,
2636,Medication Instructions,Inform your doctor if you are having difficulty affording your medicine.,
2637,Medication Instructions,Do not take your medicine with herbal teas unless instructed.,
2638,Medication Instructions,Take your medicine with a consistent routine to improve adherence.,
2639,Medication Instructions,Do not take your medicine with fruit juices unless instructed.,
2640,Medication Instructions,Inform your doctor if you are having difficulty accessing your medicine.,
2641,Medication Instructions,Do not take your medicine with vegetable juices unless instructed.,
2642,Medication Instructions,Take your medicine with a positive attitude to improve treatment outcomes.,
2643,Medication Instructions,Do not take your medicine with protein shakes unless instructed.,
2644,Medication Instructions,Inform your doctor if you are having difficulty understanding your medicine instructions.,
2645,Medication Instructions,Do not take your medicine with meal replacement drinks unless instructed.,
2646,Medication Instructions,Take your medicine with a supportive network to improve adherence.,
2647,Medication Instructions,Do not take your medicine with dietary supplements unless instructed.,
2648,Medication Instructions,Inform your doctor if you are having difficulty with the side effects of your medicine.,
2649,Medication Instructions,Do not take your medicine with vitamins unless instructed.,
2650,Medication Instructions,Take your medicine with a clear understanding of why it is important.,
2651,Medication Instructions,Do not take your medicine with minerals unless instructed.,
2652,Medication Instructions,Inform your doctor if you are having difficulty with the taste of your medicine.,
2653,Medication Instructions,Do not take your medicine with probiotics unless instructed.,
2654,Medication Instructions,Take your medicine with a commitment to completing the full course.,
2655,Medication Instructions,Do not take your medicine with prebiotics unless instructed.,
2656,Medication Instructions,Inform your doctor if you are having difficulty with the size of the tablet.,
2657,Medication Instructions,Do not take your medicine with antioxidants unless instructed.,
2658,Medication Instructions,Take your medicine with a plan to manage any side effects.,
2659,Medication Instructions,Do not take your medicine with omega-3 supplements unless instructed.,
2660,Medication Instructions,Inform your doctor if you are having difficulty with the frequency of dosing.,
2661,Medication Instructions,Do not take your medicine with omega-6 supplements unless instructed.,
2662,Medication Instructions,Take your medicine with a strategy to remember each dose.,
2663,Medication Instructions,Do not take your medicine with omega-9 supplements unless instructed.,
2664,Medication Instructions,Inform your doctor if you are having difficulty with the route of administration.,
2665,Medication Instructions,Do not take your medicine with amino acid supplements unless instructed.,
2666,Medication Instructions,Take your medicine with a focus on achieving the best possible health outcome.,
2667,Medication Instructions,Do not take your medicine with enzyme supplements unless instructed.,
2668,Medication Instructions,Inform your doctor if you are having difficulty with the storage of your medicine.,
2669,Medication Instructions,Do not take your medicine with fibre supplements unless instructed.,
2670,Medication Instructions,Take your medicine with a determination to complete the full treatment course.,
2671,Medication Instructions,Do not take your medicine with collagen supplements unless instructed.,
